window_id,dataset,split,subject_id,trial_id,activity,fall_label,ref_fall_prob,hard_negative_score,hn_feature_rule,hn_prediction_rule,prediction_rule_threshold,saved_reference_test_fp,feature_rule_threshold
w25_00000000,bits,train,user1,user1_adl1,walking_slowly,0,0.0007133904146030545,,False,False,0.5,False,0.7667769784172662
w25_00000001,bits,train,user1,user1_adl1,walking_slowly,0,0.00017274112906306982,,False,False,0.5,False,0.7667769784172662
w25_00000002,bits,train,user1,user1_adl1,walking_slowly,0,8.745135710341856e-05,,False,False,0.5,False,0.7667769784172662
w25_00000003,bits,train,user1,user1_adl1,walking_slowly,0,1.6817295545479283e-05,,False,False,0.5,False,0.7667769784172662
w25_00000004,bits,train,user1,user1_adl1,walking_slowly,0,2.9578353860415518e-05,,False,False,0.5,False,0.7667769784172662
w25_00000005,bits,train,user1,user1_adl10,rapidly_sitting_on_chair,0,2.4683986339368857e-05,,False,False,0.5,False,0.7667769784172662
w25_00000006,bits,train,user1,user1_adl12,swinging_hands,0,1.4046579053683672e-05,,False,False,0.5,False,0.7667769784172662
w25_00000007,bits,train,user1,user1_adl12,swinging_hands,0,3.2608713809167966e-05,,False,False,0.5,False,0.7667769784172662
w25_00000008,bits,train,user1,user1_adl12,swinging_hands,0,3.138287502224557e-05,,False,False,0.5,False,0.7667769784172662
w25_00000009,bits,train,user1,user1_adl12,swinging_hands,0,1.2108376722608227e-05,,False,False,0.5,False,0.7667769784172662
w25_00000010,bits,train,user1,user1_adl12,swinging_hands,0,1.2393935548971058e-06,,False,False,0.5,False,0.7667769784172662
w25_00000011,bits,train,user1,user1_adl13,lying_on_bed,0,1.3563818512807302e-08,,False,False,0.5,False,0.7667769784172662
w25_00000012,bits,train,user1,user1_adl13,lying_on_bed,0,1.3749879457236602e-08,,False,False,0.5,False,0.7667769784172662
w25_00000013,bits,train,user1,user1_adl13,lying_on_bed,0,1.6083088638652043e-08,,False,False,0.5,False,0.7667769784172662
w25_00000014,bits,train,user1,user1_adl13,lying_on_bed,0,1.747411815244959e-08,,False,False,0.5,False,0.7667769784172662
w25_00000015,bits,train,user1,user1_adl13,lying_on_bed,0,1.797517334978238e-08,,False,False,0.5,False,0.7667769784172662
w25_00000016,bits,train,user1,user1_adl2,walking_quickly,0,4.226137207297143e-06,,False,False,0.5,False,0.7667769784172662
w25_00000017,bits,train,user1,user1_adl2,walking_quickly,0,4.144028935115784e-06,,False,False,0.5,False,0.7667769784172662
w25_00000018,bits,train,user1,user1_adl2,walking_quickly,0,1.564659442010452e-06,,False,False,0.5,False,0.7667769784172662
w25_00000019,bits,train,user1,user1_adl2,walking_quickly,0,1.1944231346205925e-06,,False,False,0.5,False,0.7667769784172662
w25_00000020,bits,train,user1,user1_adl2,walking_quickly,0,8.218223683797987e-07,,False,False,0.5,False,0.7667769784172662
w25_00000021,bits,train,user1,user1_adl3,jogging,0,0.006988903973251581,,False,False,0.5,False,0.7667769784172662
