dataset,channel,mean,std,median,p01,p95,p99,min,max
bits,ax,-3.486138343811035,6.997385501861572,-3.375824451446533,-23.185449600219727,7.649953365325928,10.121726989746094,-78.4436264038086,78.42686462402344
bits,ay,-2.9084057807922363,6.1863508224487305,-2.5043349266052246,-28.481199321746825,5.605305194854736,9.119514465332031,-78.41632843017578,78.27363586425781
bits,az,2.3975462913513184,5.3479204177856445,2.518221378326416,-9.78989028930664,9.41400146484375,11.046846389770508,-78.27603149414062,78.42638397216797
bits,gx,-0.024313295260071754,1.1768600940704346,-0.0002443461853545159,-3.9706242084503174,1.6187928915023804,3.5349550247192383,-31.041728973388672,27.83932876586914
bits,gy,0.0035748020745813847,0.8649560213088989,0.0,-2.7391197681427,1.3062742948532104,2.936306953430176,-15.044145584106445,26.291641235351562
bits,gz,-0.01004263199865818,1.2705775499343872,0.0,-4.387234210968018,1.8010751008987427,4.502076625823975,-28.199983596801758,26.914966583251953
bits,acc_mag,10.743012428283691,5.175173759460449,9.851161003112793,2.534817934036255,18.810379028320312,35.02591323852539,0.10483218729496002,134.65762329101562
bits,gyro_mag,1.0964927673339844,1.5955963134765625,0.41481664776802063,0.002307324903085828,4.481701850891113,7.018018107414222,9.999999747378752e-05,37.51964569091797
bits,jerk,0.0039987447671592236,42.34914016723633,-0.03980398178100586,-120.43862915039061,27.427291870117188,141.24063110351562,-2154.070068359375,1906.1859130859375
bits,roll,-0.44982200860977173,1.2875773906707764,-0.6998971104621887,-2.953357458114624,2.607628107070923,3.064646005630493,-3.1415927410125732,3.1415927410125732
bits,pitch,0.3993048071861267,0.7384692430496216,0.36197513341903687,-1.2932708263397217,1.3637467622756958,1.4662126302719116,-1.5688573122024536,1.5698522329330444
bits,tilt_delta,-0.0005722743226215243,1.6165058612823486,0.0005334615707397461,-5.086365251541137,1.5713491618633268,5.197412014007568,-47.27943801879883,54.620182037353516
weda,ax,-3.872755289077759,6.137191295623779,-4.607387542724609,-15.97263240814209,7.171802997589058,11.531168937683105,-39.0,39.20000076293945
weda,ay,-3.2987887859344482,5.2732977867126465,-3.1621205806732178,-23.375824832916262,4.940000057220459,8.699999809265137,-39.20000076293945,39.0
weda,az,2.8788182735443115,5.537257671356201,2.6384615898132324,-10.800000190734863,9.75,13.678284015655539,-39.099998474121094,39.20000076293945
weda,gx,0.011319592595100403,1.5527710914611816,0.0,-4.923008918762207,2.2423093914985635,4.642068862915039,-27.571287155151367,26.709524154663086
weda,gy,0.003287457162514329,1.0839910507202148,0.0,-3.369663808345795,1.5761061906814575,3.465217351913452,-18.841176986694336,17.796297073364258
weda,gz,-0.01801622286438942,1.2455958127975464,0.0,-4.030434608459473,1.8861719846725438,3.9000000953674316,-19.34878158569336,15.645652770996094
weda,acc_mag,10.64810848236084,4.11334753036499,9.842140197753906,4.179086685180664,16.221405029296875,31.40913963317871,0.25873181223869324,66.4781723022461
weda,gyro_mag,1.4721267223358154,1.723644495010376,0.9276918768882751,9.999999747378752e-05,4.864826202392578,7.86239767074585,9.999999747378752e-05,29.000394821166992
weda,jerk,-0.0055120461620390415,59.802188873291016,-0.0057220458984375,-213.89393615722656,58.39341392517076,233.6400146484375,-1164.060302734375,1023.6318969726562
weda,roll,-0.7163379788398743,1.1335721015930176,-0.8100159168243408,-2.951234817504883,1.737353336811058,2.9455388259887707,-3.1415927410125732,3.1415927410125732
weda,pitch,0.462051659822464,0.6753723621368408,0.4925200939178467,-1.2535342371463776,1.3411691188812256,1.4521119594573975,-1.570740818977356,1.5677053928375244
weda,tilt_delta,0.01009446196258068,3.343564510345459,0.0021768733859062195,-11.945372581481934,4.428352355957031,11.05217747688294,-68.00889587402344,51.23905563354492
