dataset,channel,mean,std,median,p01,p99,min,max,abs_p99,range
bits,ax,-4.559401035308838,7.816932678222656,-7.088273048400879,-24.850923805236814,11.292032318115252,-78.4436264038086,78.42686462402344,24.850923805236814,156.8704833984375
bits,ay,-2.968653440475464,5.246540546417236,-2.5258827209472656,-22.596973495483397,8.601418533325205,-78.41632843017578,78.41968536376953,22.596973495483397,156.8360137939453
bits,az,2.8640592098236084,4.601247310638428,2.296039342880249,-9.74250129699707,11.523292541503906,-78.4460220336914,78.42638397216797,11.523292541503906,156.87240600585938
bits,gx,-0.028365615755319595,1.2108454704284668,-0.0012217313051223755,-3.8838984370231624,3.5637881755828857,-31.041728973388672,22.498167037963867,3.8838984370231624,53.539894104003906
bits,gy,0.006376443896442652,0.9140108823776245,0.0004886910319328308,-2.9187164902687073,2.900148749351506,-17.316808700561523,16.099964141845703,2.9187164902687073,33.416770935058594
bits,gz,-0.006465553306043148,1.2696092128753662,0.0012217310722917318,-4.337143421173096,4.161214351654053,-14.934432983398438,16.43593978881836,4.337143421173096,31.370372772216797
hifd,ax,-0.6805374026298523,4.101344585418701,-0.07845330238342285,-12.444737272262573,6.44296932220459,-153.5133056640625,148.31578063964844,12.444737272262573,301.8291015625
hifd,ay,0.03376467153429985,5.031270980834961,0.07845330238342285,-12.90555191040039,11.14035415649414,-153.4152374267578,164.55560302734375,12.90555191040039,317.9708251953125
hifd,az,-0.24100805819034576,4.0860395431518555,-0.06864643096923828,-9.708680019378662,8.620044708251953,-146.85458374023438,156.49452209472656,9.708680019378662,303.34912109375
hifd,gx,0.013376982882618904,1.6885274648666382,0.0,-4.941044616699219,5.0754170417785645,-34.86993408203125,25.249677658081055,5.0754170417785645,60.11961364746094
hifd,gy,-0.015631280839443207,1.0820574760437012,0.0,-3.2184045791625975,3.152082250118272,-25.158920288085938,16.96983528137207,3.2184045791625975,42.128753662109375
hifd,gz,0.028925735503435135,1.6111654043197632,0.0017453294713050127,-4.4122272491455075,5.106850910186784,-22.256437301635742,33.290409088134766,5.106850910186784,55.546844482421875
weda,ax,-2.8358917236328125,7.339880466461182,-3.0999999046325684,-21.399999618530273,15.800000190734863,-39.0,39.20000076293945,21.399999618530273,78.19999694824219
weda,ay,-3.8035295009613037,5.738412380218506,-3.5999999046325684,-24.299999237060547,11.199999809265137,-39.20000076293945,39.099998474121094,24.299999237060547,78.30000305175781
weda,az,3.3071072101593018,6.32382345199585,3.0,-14.899999618530273,20.100000381469727,-39.20000076293945,39.20000076293945,20.100000381469727,78.4000015258789
weda,gx,-0.09656783938407898,1.905177354812622,0.0,-6.199999809265137,5.400000095367432,-32.900001525878906,31.700000762939453,6.199999809265137,64.60000610351562
weda,gy,-0.029135705903172493,1.32623291015625,0.0,-4.300000190734863,4.0,-21.10000228881836,25.19999885559082,4.300000190734863,46.30000305175781
weda,gz,-0.011415115557610989,1.4751781225204468,0.0,-4.800000190734863,4.699999809265137,-25.600000381469727,16.899999618530273,4.800000190734863,42.5
umafall,ax,-1.1037276983261108,9.048789978027344,-1.8166245222091675,-24.250124015808105,19.560659160613998,-77.837890625,78.45320129394531,24.250124015808105,156.2910919189453
umafall,ay,-0.2179647982120514,6.676418781280518,-0.25436580181121826,-19.039299755096437,17.039533615112305,-78.45320129394531,77.837890625,19.039299755096437,156.2910919189453
umafall,az,3.0351269245147705,6.167626857757568,2.585737943649292,-12.344287872314453,22.250677394866926,-76.5728759765625,78.45320129394531,22.250677394866926,155.0260772705078
umafall,gx,-0.057506196200847626,1.3707032203674316,-0.06719403713941574,-4.0762167644500735,4.269456105232238,-4.468042850494385,4.443737983703613,4.269456105232238,8.911781311035156
umafall,gy,-0.0320410393178463,1.2097222805023193,-0.0021037450060248375,-4.189143657684326,3.8764806199073747,-4.4833526611328125,4.433000087738037,4.189143657684326,8.916353225708008
umafall,gz,0.002900912892073393,1.2706527709960938,-0.028159543871879578,-4.03063136100769,4.372368092536924,-4.472185134887695,4.444488525390625,4.372368092536924,8.91667366027832
