channel,min,max,mean,std
ax,-78.4436264038086,78.42686462402344,-3.3764424324035645,7.230830192565918
ay,-78.41632843017578,78.41968536376953,-2.7639646530151367,5.144765377044678
az,-78.4460220336914,78.42638397216797,2.6043343544006348,4.9499335289001465
gx,-255.99998474121094,254.607421875,-0.5464175939559937,30.719701766967773
gy,-256.877197265625,253.99220275878906,-0.2849225699901581,27.09139060974121
gz,-256.2373352050781,254.65042114257812,0.01841382123529911,28.455524444580078
acc_mag,0.0023956699296832085,134.828857421875,9.453115463256836,6.302097320556641
gyro_mag,9.999999747378752e-05,443.4049987792969,15.452472686767578,47.4232177734375
jerk,-3656.198486328125,4733.4541015625,0.06433713436126709,133.06201171875
roll,-3.1415438652038574,3.1415927410125732,-0.5729955434799194,1.079749584197998
pitch,-1.5707827806472778,1.5707862377166748,0.4180603325366974,0.815795361995697
tilt_delta,0.0,3.9769604206085205,0.12822474539279938,0.3110387921333313
