dataset,source_path,subject_id,trial_id,activity_id,source_hz,target_hz,raw_samples,processed_samples,duration_seconds,effective_fs_before,effective_fs_after,resampling_method,timestamp_irregular,duplicate_timestamps,fall_interval_start,fall_interval_end
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U01_R01_accel.csv,U01,R01,D01,25.0,25.0,479,484,19.32,24.727761976059682,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U01_R02_accel.csv,U01,R02,D01,25.0,25.0,473,478,19.080000000000002,24.749233283359313,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U01_R03_accel.csv,U01,R03,D01,25.0,25.0,455,458,18.28,24.805355366884832,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U02_R01_accel.csv,U02,R01,D01,25.0,25.0,679,686,27.400000000000002,24.72016744255947,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U02_R02_accel.csv,U02,R02,D01,25.0,25.0,704,711,28.400000000000002,24.733927799231203,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U02_R03_accel.csv,U02,R03,D01,25.0,25.0,654,661,26.400000000000002,24.719398940262753,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U03_R01_accel.csv,U03,R01,D01,25.0,25.0,393,396,15.8,24.7537257870125,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U03_R02_accel.csv,U03,R02,D01,25.0,25.0,328,331,13.200000000000001,24.695091675078455,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U03_R03_accel.csv,U03,R03,D01,25.0,25.0,333,336,13.4,24.72999015965999,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U04_R01_accel.csv,U04,R01,D01,25.0,25.0,491,496,19.8,24.73186121448954,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U04_R02_accel.csv,U04,R02,D01,25.0,25.0,504,508,20.28,24.747246612410944,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U04_R03_accel.csv,U04,R03,D01,25.0,25.0,456,461,18.400000000000002,24.72788544868155,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U05_R01_accel.csv,U05,R01,D01,25.0,25.0,469,473,18.88,24.771079305093146,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U05_R02_accel.csv,U05,R02,D01,25.0,25.0,481,486,19.400000000000002,24.75208741322556,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U05_R03_accel.csv,U05,R03,D01,25.0,25.0,600,605,24.16,24.76178793180754,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U06_R01_accel.csv,U06,R01,D01,25.0,25.0,359,371,14.8,24.48997531711663,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U06_R02_accel.csv,U06,R02,D01,25.0,25.0,351,354,14.120000000000001,25.128027848857748,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U06_R03_accel.csv,U06,R03,D01,25.0,25.0,410,413,16.48,24.80892915318411,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U07_R01_accel.csv,U07,R01,D01,25.0,25.0,425,429,17.12,24.72447448689133,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U07_R02_accel.csv,U07,R02,D01,25.0,25.0,496,500,19.96,24.843423298919,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U07_R03_accel.csv,U07,R03,D01,25.0,25.0,443,456,18.2,24.51885594522617,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U08_R01_accel.csv,U08,R01,D01,25.0,25.0,745,753,30.080000000000002,24.714324114251816,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U08_R02_accel.csv,U08,R02,D01,25.0,25.0,750,757,30.240000000000002,24.747405311691708,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U08_R03_accel.csv,U08,R03,D01,25.0,25.0,652,659,26.32,24.726526891522333,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U09_R01_accel.csv,U09,R01,D01,25.0,25.0,412,416,16.6,24.70546027449526,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U09_R02_accel.csv,U09,R02,D01,25.0,25.0,388,391,15.6,24.777514667159878,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U09_R03_accel.csv,U09,R03,D01,25.0,25.0,361,364,14.52,24.758439928348672,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U10_R01_accel.csv,U10,R01,D01,25.0,25.0,412,416,16.6,24.712142643265246,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U10_R02_accel.csv,U10,R02,D01,25.0,25.0,437,441,17.6,24.779307097973053,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U10_R03_accel.csv,U10,R03,D01,25.0,25.0,511,516,20.6,24.7284722067072,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U11_R01_accel.csv,U11,R01,D01,25.0,25.0,610,617,24.64,24.70939103994272,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U11_R02_accel.csv,U11,R02,D01,25.0,25.0,499,503,20.080000000000002,24.7650305833209,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U11_R03_accel.csv,U11,R03,D01,25.0,25.0,474,479,19.12,24.720394705709307,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U12_R01_accel.csv,U12,R01,D01,25.0,25.0,377,381,15.200000000000001,24.74530899427291,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U12_R02_accel.csv,U12,R02,D01,25.0,25.0,338,341,13.6,24.771216243159657,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U12_R03_accel.csv,U12,R03,D01,25.0,25.0,311,314,12.52,24.726808803725504,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U13_R01_accel.csv,U13,R01,D01,25.0,25.0,322,322,12.84,24.897269398402244,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U13_R02_accel.csv,U13,R02,D01,25.0,25.0,341,343,13.68,24.809369218328072,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U13_R03_accel.csv,U13,R03,D01,25.0,25.0,323,326,13.0,24.768625189452624,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U14_R01_accel.csv,U14,R01,D01,25.0,25.0,438,443,17.68,24.695885569176887,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U14_R02_accel.csv,U14,R02,D01,25.0,25.0,467,471,18.8,24.729368593832213,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U14_R03_accel.csv,U14,R03,D01,25.0,25.0,464,468,18.68,24.758034329714988,25.0,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U21_R01_accel.csv,U21,R01,D01,25.0,25.0,555,561,22.400000000000002,24.741759861004994,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
weda,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\25Hz\D01\U21_R02_accel.csv,U21,R02,D01,25.0,25.0,592,603,24.080000000000002,24.60223792158498,24.999999999999996,raw_25hz_time_aligned_to_uniform_25hz,True,0,,
