dataset,channel,mean,std,median,p01,p95,p99,min,max
bits,ax,-4.564465522766113,7.657716751098633,-7.274542808532715,-23.71600341796875,8.52431583404541,10.991354207992602,-78.4436264038086,78.42686462402344
bits,ay,-2.972372531890869,5.01445198059082,-2.5546131134033203,-20.681133346557615,3.928406000137329,8.475498294830345,-78.41632843017578,78.27363586425781
bits,az,2.9118945598602295,4.56644344329834,2.3132777214050293,-9.734345436096191,9.390059471130371,11.378735761642504,-78.27603149414062,78.42638397216797
bits,gx,-0.03240597993135452,1.1889421939849854,-0.00122173095587641,-3.863849756717682,1.5628376007080078,3.422067165374756,-22.092552185058594,22.165857315063477
bits,gy,-0.0015629683621227741,0.8741054534912109,0.0,-2.8072924613952637,1.1931664884090367,2.766730785369873,-12.337034225463867,15.164118766784668
bits,gz,-0.0355762280523777,1.1976072788238525,0.0007330382359214127,-4.250424976348877,1.611951231956482,3.785170197486882,-14.934433937072754,16.43593978881836
bits,acc_mag,10.700285911560059,5.318848609924316,9.837224960327148,2.8081083393096926,17.36994743347168,33.311893463134766,0.1137707382440567,134.65762329101562
bits,gyro_mag,1.0792951583862305,1.5650391578674316,0.46453723311424255,0.0022417008876800537,4.217201232910156,7.066229109764107,9.999999747378752e-05,23.803508758544922
bits,jerk,0.15320275723934174,52.01869583129883,-0.0152587890625,-123.35535171508789,29.79864196777339,142.4536723327649,-1387.199951171875,1274.3145751953125
bits,roll,-0.6221330165863037,0.9676933288574219,-0.8037054538726807,-2.6913804173469544,1.5231176733970444,2.8132384037971554,-3.1413469314575195,3.1410024166107178
bits,pitch,0.5508368015289307,0.8085286617279053,0.9019495248794556,-1.29082453250885,1.392544150352478,1.4745279550552368,-1.5479669570922852,1.5634666681289673
bits,tilt_delta,0.010950344614684582,1.925816297531128,0.0018658116459846497,-6.289219455718994,1.7097201228141743,6.5515594482421875,-30.50974464416504,34.460052490234375
weda,ax,-2.9101691246032715,7.197475910186768,-3.3994505405426025,-20.149999618530273,8.94793658256531,14.883157730102539,-39.0,39.20000076293945
weda,ay,-3.744598627090454,5.291647434234619,-3.700000047683716,-20.845100269317626,3.972172331810009,10.886361398696835,-39.20000076293945,39.0
weda,az,3.289544105529785,5.931474208831787,2.8125,-14.298898763656616,10.25445637702942,19.013132095336914,-39.099998474121094,39.20000076293945
weda,gx,-0.1696491241455078,1.818416953086853,-0.00937500037252903,-6.237754158973694,2.369146335124973,4.779999732971191,-23.608396530151367,26.709524154663086
weda,gy,-0.04289991036057472,1.3086344003677368,0.0,-4.371428489685059,1.8169003605842613,3.7854398179053943,-18.841176986694336,17.796297073364258
weda,gz,-0.0009081271127797663,1.4922738075256348,0.0,-4.827550888061523,2.342951416969303,4.699999809265137,-19.34878158569336,15.094444274902344
weda,acc_mag,11.068416595458984,5.078377723693848,9.887880325317383,3.4945280933380127,19.67969512939453,35.44411849975586,0.2815112769603729,66.4781723022461
weda,gyro_mag,1.7892259359359741,2.018746852874756,1.147434115409851,9.999999747378752e-05,5.725279855728152,9.23093600273131,9.999999747378752e-05,27.204898834228516
weda,jerk,0.19980831444263458,72.3588638305664,-0.10696649551391602,-252.50468063354492,90.39083023071292,268.3588748168944,-1054.285400390625,821.5538940429688
weda,roll,-0.7740036845207214,1.045435905456543,-0.8716751337051392,-2.931303024291992,1.2478421926498413,2.8353386282920825,-3.141141414642334,3.1415927410125732
weda,pitch,0.3431907296180725,0.7261722683906555,0.3648069202899933,-1.2674140930175781,1.3365099430084229,1.4503123760223389,-1.570740818977356,1.5642657279968262
weda,tilt_delta,0.10733573883771896,4.6600022315979,0.049758702516555786,-16.622325763702392,7.217707347869874,14.756771354675287,-55.403472900390625,48.87770462036133
