run_id,window_id,activity,subject_id,trial_id,reference_fall_prob,verifier_prob,final_score,reference_pred,extra_pred,reference_fp,extra_fp,corrected_reference_fp,acc_mag_range,acc_mag_max,acc_mag_std,gyro_mag_p95,gyro_mag_mean,jerk_p95,jerk_std,tilt_delta_p95,post_acc_mag_std,post_gyro_mag_std,ay_std,ay_range,gyro_mag_max,gyro_mag_range
FV1A,w25_00003700,jogging,U04,D02_R01,0.8183783292770386,0.1819612217439539,0.1819612217439539,1,1,True,True,False,31.469284,36.883736,7.512773,5.576584339141845,2.7360868,185.82050476074207,115.78729,9.552194166183469,2.0855679512023926,1.0727235078811646,,,,
FV1A,w25_00003701,jogging,U04,D02_R01,0.640643298625946,0.1745059717747224,0.1745059717747224,1,1,True,True,False,31.469284,36.883736,8.223397,5.576584339141845,3.594136,298.7282211303709,138.69215,9.552194166183469,6.496031284332275,1.2356369495391846,,,,
FV1A,w25_00003702,jogging,U04,D02_R01,0.9331348538398744,0.1960888330397413,0.1960888330397413,1,1,True,True,False,31.406769,36.883736,8.813316,5.928273773193359,3.5930395,296.8048995971678,145.06163,10.702817296981808,7.178801536560059,1.655674934387207,,,,
FV1A,w25_00003703,jogging,U04,D02_R01,0.5508899092674255,0.09012924319989983,0.09012924319989983,1,1,True,True,False,33.961796,39.438763,9.760765,8.168407487869263,4.286292,321.85955047607416,154.17728,8.80847325325012,1.1004090309143066,0.6877621412277222,,,,
FV1A,w25_00003704,jogging,U04,D02_R01,0.8729602098464966,0.38147893122774856,0.38147893122774856,1,1,True,True,False,36.29194,39.438763,8.594873,8.168407487869263,4.2078733,294.6144927978514,136.98691,7.80685493946075,8.33210563659668,2.61215615272522,,,,
FV1A,w25_00004372,gentle_jump,U04,D08_R01,0.9998494386672974,0.6528715455946954,0.6528715455946954,1,1,True,True,False,37.0152,42.48875,7.8687553,8.025895333290098,4.4479146,199.71368179321283,121.29934,20.022155046462988,2.383309364318848,1.2389930486679075,,,,
FV1A,w25_00004373,gentle_jump,U04,D08_R01,0.9999957084655762,0.6945109456459844,0.6945109456459844,1,1,True,True,False,37.0152,42.48875,7.816104,8.025895333290098,4.312592,199.71368179321283,118.94155,20.022155046462988,4.240936279296875,1.5489550828933716,,,,
FV1A,w25_00004374,gentle_jump,U04,D08_R01,0.9999974966049194,0.6536180591569092,0.6536180591569092,1,1,True,True,False,36.173973,42.48875,7.545864,6.779317474365234,3.7166796,224.36149063110344,123.74316,20.022155046462988,3.759605407714844,1.5578410625457764,,,,
FV1A,w25_00004375,gentle_jump,U04,D08_R01,0.7412121295928955,0.2687416358070313,0.2687416358070313,1,1,True,True,False,34.739994,42.48875,6.6606045,6.0054018735885615,2.8513143,157.87246665954572,95.67443,5.168326079845421,3.3614742755889893,1.5972967147827148,,,,
FV1A,w25_00004377,gentle_jump,U04,D08_R02,0.9996366500854492,0.27849920981224235,0.27849920981224235,1,1,True,True,False,21.636301,25.376451,4.973408,6.4292211532592765,2.6906676,120.92322998046872,84.38315,13.340759420394871,5.967857360839844,2.2154555320739746,,,,
FV1A,w25_00004378,gentle_jump,U04,D08_R02,0.9983577132225036,0.30046832836061443,0.30046832836061443,1,1,True,True,False,21.636301,25.376451,4.9707966,6.496946930885315,3.6984549,120.92322998046872,72.4547,13.790293788909889,3.8743526935577393,1.9445239305496216,,,,
FV1A,w25_00004379,gentle_jump,U04,D08_R02,0.999052345752716,0.33372595580802883,0.33372595580802883,1,1,True,True,False,21.636301,25.376451,5.276462,6.496946930885315,3.8302076,120.92322998046872,73.02429,13.790293788909889,3.886348009109497,2.3879201412200928,,,,
FV1A,w25_00004514,hit_table_with_hand,U04,D09_R01,0.762090802192688,0.5719481046244637,0.5719481046244637,1,1,True,True,False,35.922985,37.941166,7.3951025,10.254645347595211,4.033712,173.40825729370098,122.265144,6.418882203102102,5.946841716766357,3.908538818359375,,,,
FV1A,w25_00004519,hit_table_with_hand,U04,D09_R02,0.9593258500099182,0.3201617805790848,0.3201617805790848,1,1,True,True,False,30.201965,32.803436,5.2980456,11.202436399459836,3.5712974,105.97502479553202,66.45515,5.126664209365842,3.556235074996948,2.778724193572998,,,,
FV1A,w25_00004760,clapping_hands,U04,D10_R01,0.9993534684181212,0.6419191630316345,0.6419191630316345,1,1,True,True,False,25.347488,29.839716,5.0726447,5.958490943908689,2.8919425,171.05035934448236,85.82734,22.18255281448364,5.999825477600098,2.445526123046875,,,,
FV1A,w25_00004761,clapping_hands,U04,D10_R01,0.9999960660934448,0.4339846577227148,0.4339846577227148,1,1,True,True,False,23.757046,29.839716,6.0340524,6.679994440078733,3.8033056,223.1865135192871,119.34393,20.65963516235351,6.535222053527832,2.026447057723999,,,,
FV1A,w25_00004762,clapping_hands,U04,D10_R01,0.9999936819076538,0.4545868010785591,0.4545868010785591,1,1,True,True,False,23.757046,29.839716,5.8453894,7.358306670188901,4.1428003,209.5551048278808,113.23423,20.65963516235351,5.870294094085693,2.011647224426269,,,,
FV1A,w25_00004763,clapping_hands,U04,D10_R01,0.9999560117721558,0.4322990141753528,0.4322990141753528,1,1,True,True,False,27.782505,33.41137,6.4709034,7.358306670188901,4.196905,219.3846138000488,125.92377,18.62578783035278,4.944234371185303,1.5212044715881348,,,,
FV1A,w25_00005072,open_close_door,U25,D11_R01,0.9987143278121948,0.029789717751935858,0.029789717751935858,1,1,True,True,False,10.993452,18.036684,1.8742628,3.273096680641169,1.5028753,57.62838897705075,31.013813,4.662533819675435,1.6019234657287598,0.4391513168811798,,,,
FV1A,w25_00005073,open_close_door,U25,D11_R01,0.993684470653534,0.0466249485076792,0.0466249485076792,1,1,True,True,False,10.993452,18.036684,1.9462423,4.974102234840392,1.9181634,60.80600757598876,33.501183,6.593555498123168,1.4783382415771484,1.1709613800048828,,,,
FV1A,w25_00005074,open_close_door,U25,D11_R01,0.9960469603538512,0.05824067865263792,0.05824067865263792,1,1,True,True,False,10.993452,18.036684,1.8331509,5.217870783805847,1.8951933,64.47801456451415,35.939316,8.175700569152825,1.3449273109436035,1.3199962377548218,,,,
FV1B,w25_00003700,jogging,U04,D02_R01,0.8183783292770386,0.1819612217439539,0.1819612217439539,1,1,True,True,False,31.469284,36.883736,7.512773,5.576584339141845,2.7360868,185.82050476074207,115.78729,9.552194166183469,2.0855679512023926,1.0727235078811646,,,,
FV1B,w25_00003701,jogging,U04,D02_R01,0.640643298625946,0.1745059717747224,0.1745059717747224,1,1,True,True,False,31.469284,36.883736,8.223397,5.576584339141845,3.594136,298.7282211303709,138.69215,9.552194166183469,6.496031284332275,1.2356369495391846,,,,
FV1B,w25_00003702,jogging,U04,D02_R01,0.9331348538398744,0.1960888330397413,0.1960888330397413,1,1,True,True,False,31.406769,36.883736,8.813316,5.928273773193359,3.5930395,296.8048995971678,145.06163,10.702817296981808,7.178801536560059,1.655674934387207,,,,
FV1B,w25_00003703,jogging,U04,D02_R01,0.5508899092674255,0.09012924319989983,0.09012924319989983,1,1,True,True,False,33.961796,39.438763,9.760765,8.168407487869263,4.286292,321.85955047607416,154.17728,8.80847325325012,1.1004090309143066,0.6877621412277222,,,,
FV1B,w25_00003704,jogging,U04,D02_R01,0.8729602098464966,0.38147893122774856,0.38147893122774856,1,1,True,True,False,36.29194,39.438763,8.594873,8.168407487869263,4.2078733,294.6144927978514,136.98691,7.80685493946075,8.33210563659668,2.61215615272522,,,,
FV1B,w25_00004372,gentle_jump,U04,D08_R01,0.9998494386672974,0.6528715455946954,0.6528715455946954,1,1,True,True,False,37.0152,42.48875,7.8687553,8.025895333290098,4.4479146,199.71368179321283,121.29934,20.022155046462988,2.383309364318848,1.2389930486679075,,,,
FV1B,w25_00004373,gentle_jump,U04,D08_R01,0.9999957084655762,0.6945109456459844,0.6945109456459844,1,1,True,True,False,37.0152,42.48875,7.816104,8.025895333290098,4.312592,199.71368179321283,118.94155,20.022155046462988,4.240936279296875,1.5489550828933716,,,,
FV1B,w25_00004374,gentle_jump,U04,D08_R01,0.9999974966049194,0.6536180591569092,0.6536180591569092,1,1,True,True,False,36.173973,42.48875,7.545864,6.779317474365234,3.7166796,224.36149063110344,123.74316,20.022155046462988,3.759605407714844,1.5578410625457764,,,,
FV1B,w25_00004375,gentle_jump,U04,D08_R01,0.7412121295928955,0.2687416358070313,0.2687416358070313,1,1,True,True,False,34.739994,42.48875,6.6606045,6.0054018735885615,2.8513143,157.87246665954572,95.67443,5.168326079845421,3.3614742755889893,1.5972967147827148,,,,
FV1B,w25_00004377,gentle_jump,U04,D08_R02,0.9996366500854492,0.27849920981224235,0.27849920981224235,1,1,True,True,False,21.636301,25.376451,4.973408,6.4292211532592765,2.6906676,120.92322998046872,84.38315,13.340759420394871,5.967857360839844,2.2154555320739746,,,,
FV1B,w25_00004378,gentle_jump,U04,D08_R02,0.9983577132225036,0.30046832836061443,0.30046832836061443,1,1,True,True,False,21.636301,25.376451,4.9707966,6.496946930885315,3.6984549,120.92322998046872,72.4547,13.790293788909889,3.8743526935577393,1.9445239305496216,,,,
FV1B,w25_00004379,gentle_jump,U04,D08_R02,0.999052345752716,0.33372595580802883,0.33372595580802883,1,1,True,True,False,21.636301,25.376451,5.276462,6.496946930885315,3.8302076,120.92322998046872,73.02429,13.790293788909889,3.886348009109497,2.3879201412200928,,,,
FV1B,w25_00004514,hit_table_with_hand,U04,D09_R01,0.762090802192688,0.5719481046244637,0.5719481046244637,1,1,True,True,False,35.922985,37.941166,7.3951025,10.254645347595211,4.033712,173.40825729370098,122.265144,6.418882203102102,5.946841716766357,3.908538818359375,,,,
FV1B,w25_00004518,hit_table_with_hand,U04,D09_R02,0.4558168947696686,0.3834073984816826,0.3834073984816826,0,1,False,True,False,30.201965,32.803436,5.877718,11.202436399459836,4.6032634,147.00396881103512,82.78508,7.576943039894098,4.079509735107422,2.735149621963501,,,,
FV1B,w25_00004519,hit_table_with_hand,U04,D09_R02,0.9593258500099182,0.3201617805790848,0.3201617805790848,1,1,True,True,False,30.201965,32.803436,5.2980456,11.202436399459836,3.5712974,105.97502479553202,66.45515,5.126664209365842,3.556235074996948,2.778724193572998,,,,
FV1B,w25_00004760,clapping_hands,U04,D10_R01,0.9993534684181212,0.6419191630316345,0.6419191630316345,1,1,True,True,False,25.347488,29.839716,5.0726447,5.958490943908689,2.8919425,171.05035934448236,85.82734,22.18255281448364,5.999825477600098,2.445526123046875,,,,
